timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,IdleTime,Connect
1677342096942,5859,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-80,text,false,,2685,0,328,328,https://reqres.in/api/users/register,,0,0,5859
1677342096982,6524,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-82,text,false,,2685,0,362,362,https://reqres.in/api/users/register,,0,0,6523
1677342096962,6544,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-81,text,false,,2685,0,362,362,https://reqres.in/api/users/register,,0,0,6543
1677342097563,8291,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-111,text,false,,2685,0,453,453,https://reqres.in/api/users/register,,0,0,8291
1677342097003,8880,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-83,text,false,,2685,0,452,452,https://reqres.in/api/users/register,,0,0,8880
1677342097023,8860,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-84,text,false,,2685,0,452,452,https://reqres.in/api/users/register,,0,0,8860
1677342096282,9703,HTTP Request,201,Created,Reqres_Swagger 1-47,text,true,,709,259,450,450,https://reqres.in/api/users/register,,9703,0,3540
1677342096262,9739,HTTP Request,201,Created,Reqres_Swagger 1-46,text,true,,709,259,449,449,https://reqres.in/api/users/register,,9739,0,3560
1677342096242,9759,HTTP Request,201,Created,Reqres_Swagger 1-45,text,true,,707,259,449,449,https://reqres.in/api/users/register,,9759,0,3580
1677342096302,9720,HTTP Request,201,Created,Reqres_Swagger 1-48,text,true,,713,259,447,447,https://reqres.in/api/users/register,,9720,0,3521
1677342096322,9761,HTTP Request,201,Created,Reqres_Swagger 1-49,text,true,,713,259,446,446,https://reqres.in/api/users/register,,9761,0,3597
1677342096341,9757,HTTP Request,201,Created,Reqres_Swagger 1-50,text,true,,711,259,446,446,https://reqres.in/api/users/register,,9757,0,3609
1677342096363,9870,HTTP Request,201,Created,Reqres_Swagger 1-51,text,true,,715,259,444,444,https://reqres.in/api/users/register,,9870,0,4596
1677342096522,10248,HTTP Request,201,Created,Reqres_Swagger 1-59,text,true,,713,259,443,443,https://reqres.in/api/users/register,,10248,0,5942
1677342096502,10268,HTTP Request,201,Created,Reqres_Swagger 1-58,text,true,,715,259,443,443,https://reqres.in/api/users/register,,10268,0,5954
1677342096462,10325,HTTP Request,201,Created,Reqres_Swagger 1-56,text,true,,711,259,441,441,https://reqres.in/api/users/register,,10325,0,5382
1677342096442,10346,HTTP Request,201,Created,Reqres_Swagger 1-55,text,true,,705,259,441,441,https://reqres.in/api/users/register,,10346,0,5386
1677342096422,10367,HTTP Request,201,Created,Reqres_Swagger 1-54,text,true,,711,259,439,439,https://reqres.in/api/users/register,,10367,0,5381
1677342096563,10510,HTTP Request,201,Created,Reqres_Swagger 1-61,text,true,,717,259,438,438,https://reqres.in/api/users/register,,10510,0,7088
1677342096482,10614,HTTP Request,201,Created,Reqres_Swagger 1-57,text,true,,721,259,437,437,https://reqres.in/api/users/register,,10614,0,7169
1677342096544,10552,HTTP Request,201,Created,Reqres_Swagger 1-60,text,true,,711,259,437,437,https://reqres.in/api/users/register,,10552,0,7115
1677342096602,10577,HTTP Request,503,Service Unavailable,Reqres_Swagger 1-63,text,false,,1111,259,435,435,https://reqres.in/api/users/register,,10577,0,7049
1677342096622,10637,HTTP Request,201,Created,Reqres_Swagger 1-64,text,true,,707,259,434,434,https://reqres.in/api/users/register,,10637,0,7412
1677342096583,10676,HTTP Request,201,Created,Reqres_Swagger 1-62,text,true,,709,259,434,434,https://reqres.in/api/users/register,,10676,0,7239
1677342096642,10617,HTTP Request,201,Created,Reqres_Swagger 1-65,text,true,,713,259,434,434,https://reqres.in/api/users/register,,10617,0,7396
1677342097043,10254,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-85,text,false,,2685,0,431,431,https://reqres.in/api/users/register,,0,0,10254
1677342097122,10176,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Reqres_Swagger 1-89,text,false,,2685,0,430,430,https://reqres.in/api/users/register,,0,0,10176
